,s1,s2,p-value
372,PYPL,VRTX,0.03510220736016956
328,MDLZ,NFLX,0.0351339649363118
243,GFS,QCOM,0.03521974871150646
13,ADBE,TTWO,0.035261254140436876
54,AMAT,KLAC,0.03548231990583314
381,TTWO,VRSK,0.035540521816319344
90,CMCSA,MDB,0.03562409977706134
148,EXC,ORLY,0.036248101209398885
227,GFS,KHC,0.03635026500978352
135,EA,GOOG,0.03643704342480804
15,ADI,BKNG,0.03645019851271554
232,GFS,MNST,0.03649054796644151
388,WBA,XEL,0.03661240905316638
38,ADSK,ORLY,0.03662371556357066
136,EA,GOOGL,0.03662405703958939
21,ADI,MNST,0.03667982824643159
77,CCEP,IDXX,0.03701184402408965
274,IDXX,ROST,0.037209443659885266
134,EA,FAST,0.03726129863235286
237,GFS,ORLY,0.03746827330236268
252,GFS,TXN,0.037631395876797695
387,VRTX,XEL,0.03799556198886222
83,CCEP,NVDA,0.03823914461708422
87,CDNS,VRTX,0.03851435792049975
18,ADI,MCHP,0.038605055474323316
305,LULU,MAR,0.03873349059237159
281,INTU,WBA,0.03881433166944025
34,ADSK,LIN,0.038828186057387006
45,ADSK,WBA,0.039235651099606826
364,PEP,SIRI,0.03931364644423193
316,MAR,VRTX,0.03980061383975599
22,ADI,NFLX,0.03983931705336673
332,MELI,VRTX,0.039859320347392764
352,NXPI,ROP,0.04004590153505141
385,TXN,ZS,0.04039799652752473
142,EA,MSFT,0.04042429856403845
144,EA,PANW,0.040493485577316524
20,ADI,MELI,0.040662575230592364
295,KDP,NXPI,0.040762755150071724
2,AAPL,TTWO,0.04089669126483593
250,GFS,TSLA,0.04099526491983109
115,CTSH,MRNA,0.04103474077450069
235,GFS,MU,0.04119668509765786
118,CTSH,PANW,0.041232265690937325
24,ADSK,CDW,0.04132939645000964
10,ABNB,PANW,0.041577142987009826
117,CTSH,NXPI,0.04165574635973936
72,AVGO,PANW,0.041687329653319616
283,ISRG,MNST,0.04178099665223509
245,GFS,ROST,0.0418865523474621
389,WBD,WDAY,0.04195805591204139
132,DLTR,ODFL,0.042260288702990596
244,GFS,REGN,0.04233747705430664
306,LULU,MELI,0.042368356444846975
95,CSGP,ORLY,0.042435139419917715
279,ILMN,TTWO,0.0425205543156524
308,LULU,NFLX,0.04254161829824139
81,CCEP,MCHP,0.042664730382583636
143,EA,MU,0.04274369533978854
133,DLTR,WBA,0.042746022612015655
358,ODFL,WBA,0.04284725290272458
73,AVGO,ROP,0.04293782173077672
255,GFS,XEL,0.04293918973530721
123,DASH,INTU,0.04304428188165415
4,ABNB,COST,0.04307924058342645
233,GFS,MRVL,0.04329700009100453
39,ADSK,PANW,0.04337274811856839
80,CCEP,LRCX,0.043404631884819
62,AMD,DASH,0.04351551670193926
139,EA,LULU,0.04363268503193166
84,CCEP,WDAY,0.0438735890419775
285,ISRG,ORLY,0.043900172713340756
50,AEP,VRSK,0.0440011031018463
160,FTNT,KDP,0.044188866598820466
357,ODFL,VRTX,0.04419763746202129
288,KDP,KLAC,0.044320456497709125
297,KDP,VRTX,0.04433208313488517
145,EA,WBD,0.04442980424398335
301,LRCX,MSFT,0.044440812142378154
231,GFS,META,0.044734436580078814
347,NFLX,PDD,0.04482669165770937
241,GFS,PDD,0.04494110696904277
85,CDNS,NFLX,0.045197976596704166
249,GFS,TMUS,0.04536553673504655
110,CTSH,LRCX,0.04570239161526704
254,GFS,VRTX,0.0457596389626077
119,CTSH,PAYX,0.045760678332275206
120,CTSH,ROP,0.04581877972334021
239,GFS,PAYX,0.04588335911578501
338,MNST,ON,0.045942382321517726
0,AAPL,MRNA,0.04595914300024772
378,TMUS,WBD,0.04623736891293864
109,CTSH,KLAC,0.04624204308087437
225,GFS,INTU,0.04624950713967223
113,CTSH,MDB,0.046255713905600286
304,LRCX,ROP,0.046319268713539086
47,AEP,NFLX,0.04653027804032728
98,CSX,FAST,0.046540766200927064
146,EA,ZS,0.0465471857277589
96,CSGP,WBD,0.046678622987482696
